hex_center_mean_free,hex_center_chi_twist,hex_count,hex_log1p_count
9.95833332975,0.3800000000000001,14.0,2.70805020110221
10.137499996775,0.32000000000000006,30.0,3.4339872044851463
10.137499996775,0.3800000000000001,35.0,3.58351893845611
10.137499996775,0.44000000000000006,6.0,1.9459101490553132
10.3166666638,0.26000000000000006,3.0,1.3862943611198906
10.3166666638,0.32000000000000006,25.0,3.258096538021482
10.3166666638,0.3800000000000001,86.0,4.465908118654584
10.3166666638,0.44000000000000006,27.0,3.332204510175204
10.495833330825,0.26000000000000006,4.0,1.6094379124341003
10.495833330825,0.32000000000000006,64.0,4.174387269895637
10.495833330825,0.3800000000000001,95.0,4.564348191467836
10.495833330825,0.44000000000000006,53.0,3.9889840465642745
10.495833330825,0.5,1.0,0.6931471805599453
10.67499999785,0.26000000000000006,33.0,3.5263605246161616
10.67499999785,0.32000000000000006,54.0,4.007333185232471
10.67499999785,0.3800000000000001,131.0,4.882801922586371
10.67499999785,0.44000000000000006,74.0,4.31748811353631
10.854166664874999,0.2,4.0,1.6094379124341003
10.854166664874999,0.26000000000000006,65.0,4.189654742026425
10.854166664874999,0.32000000000000006,72.0,4.290459441148391
10.854166664874999,0.3800000000000001,125.0,4.836281906951478
10.854166664874999,0.44000000000000006,84.0,4.442651256490317
10.854166664874999,0.5,4.0,1.6094379124341003
11.0333333319,0.2,12.0,2.5649493574615367
11.0333333319,0.26000000000000006,40.0,3.713572066704308
11.0333333319,0.32000000000000006,54.0,4.007333185232471
11.0333333319,0.3800000000000001,107.0,4.68213122712422
11.0333333319,0.44000000000000006,69.0,4.248495242049359
11.0333333319,0.5,3.0,1.3862943611198906
11.212499998925,0.14,7.0,2.0794415416798357
11.212499998925,0.2,27.0,3.332204510175204
11.212499998925,0.26000000000000006,14.0,2.70805020110221
11.212499998925,0.32000000000000006,51.0,3.9512437185814275
11.212499998925,0.3800000000000001,68.0,4.23410650459726
11.212499998925,0.44000000000000006,57.0,4.060443010546419
11.212499998925,0.5,6.0,1.9459101490553132
11.39166666595,0.020000000000000004,2.0,1.0986122886681096
11.39166666595,0.08000000000000002,1.0,0.6931471805599453
11.39166666595,0.14,4.0,1.6094379124341003
11.39166666595,0.2,18.0,2.9444389791664403
11.39166666595,0.26000000000000006,16.0,2.833213344056216
11.39166666595,0.32000000000000006,36.0,3.6109179126442243
11.39166666595,0.3800000000000001,51.0,3.9512437185814275
11.39166666595,0.44000000000000006,57.0,4.060443010546419
11.39166666595,0.5,4.0,1.6094379124341003
11.570833332975,0.020000000000000004,1.0,0.6931471805599453
11.570833332975,0.14,3.0,1.3862943611198906
11.570833332975,0.2,11.0,2.4849066497880004
11.570833332975,0.26000000000000006,14.0,2.70805020110221
11.570833332975,0.32000000000000006,30.0,3.4339872044851463
11.570833332975,0.3800000000000001,39.0,3.6888794541139363
11.570833332975,0.44000000000000006,41.0,3.7376696182833684
11.570833332975,0.5,6.0,1.9459101490553132
11.75,0.08000000000000002,1.0,0.6931471805599453
11.75,0.2,6.0,1.9459101490553132
11.75,0.26000000000000006,11.0,2.4849066497880004
11.75,0.32000000000000006,22.0,3.1354942159291497
11.75,0.3800000000000001,26.0,3.295836866004329
11.75,0.44000000000000006,25.0,3.258096538021482
11.75,0.5,4.0,1.6094379124341003
11.929166667025001,0.14,1.0,0.6931471805599453
11.929166667025001,0.2,2.0,1.0986122886681096
11.929166667025001,0.26000000000000006,6.0,1.9459101490553132
11.929166667025001,0.32000000000000006,25.0,3.258096538021482
11.929166667025001,0.3800000000000001,11.0,2.4849066497880004
11.929166667025001,0.44000000000000006,13.0,2.639057329615259
11.929166667025001,0.5,2.0,1.0986122886681096
12.10833333405,0.14,1.0,0.6931471805599453
12.10833333405,0.2,3.0,1.3862943611198906
12.10833333405,0.26000000000000006,4.0,1.6094379124341003
12.10833333405,0.32000000000000006,3.0,1.3862943611198906
12.10833333405,0.3800000000000001,16.0,2.833213344056216
12.10833333405,0.44000000000000006,7.0,2.0794415416798357
12.10833333405,0.5,3.0,1.3862943611198906
12.287500001075001,0.26000000000000006,7.0,2.0794415416798357
12.287500001075001,0.32000000000000006,4.0,1.6094379124341003
12.287500001075001,0.3800000000000001,6.0,1.9459101490553132
12.287500001075001,0.44000000000000006,4.0,1.6094379124341003
12.287500001075001,0.5,1.0,0.6931471805599453
12.287500001075001,0.56,1.0,0.6931471805599453
12.4666666681,0.08000000000000002,1.0,0.6931471805599453
12.4666666681,0.14,1.0,0.6931471805599453
12.4666666681,0.26000000000000006,3.0,1.3862943611198906
12.4666666681,0.32000000000000006,1.0,0.6931471805599453
12.4666666681,0.3800000000000001,4.0,1.6094379124341003
12.4666666681,0.44000000000000006,5.0,1.791759469228055
12.4666666681,0.5,7.0,2.0794415416798357
12.4666666681,0.56,1.0,0.6931471805599453
12.645833335125001,0.14,1.0,0.6931471805599453
12.645833335125001,0.26000000000000006,1.0,0.6931471805599453
12.645833335125001,0.3800000000000001,6.0,1.9459101490553132
12.645833335125001,0.44000000000000006,6.0,1.9459101490553132
12.645833335125001,0.5,5.0,1.791759469228055
12.645833335125001,0.56,2.0,1.0986122886681096
12.82500000215,0.32000000000000006,1.0,0.6931471805599453
12.82500000215,0.3800000000000001,1.0,0.6931471805599453
12.82500000215,0.44000000000000006,2.0,1.0986122886681096
12.82500000215,0.56,7.0,2.0794415416798357
12.82500000215,0.6200000000000001,1.0,0.6931471805599453
13.004166669175001,0.3800000000000001,1.0,0.6931471805599453
13.004166669175001,0.44000000000000006,2.0,1.0986122886681096
13.004166669175001,0.5,3.0,1.3862943611198906
13.004166669175001,0.56,4.0,1.6094379124341003
13.004166669175001,0.6200000000000001,2.0,1.0986122886681096
13.1833333362,0.5,3.0,1.3862943611198906
13.1833333362,0.56,4.0,1.6094379124341003
13.1833333362,0.6200000000000001,1.0,0.6931471805599453
13.1833333362,0.68,3.0,1.3862943611198906
13.362500003225001,0.5,2.0,1.0986122886681096
13.362500003225001,0.56,1.0,0.6931471805599453
10.0479166632625,0.35000000000000003,34.0,3.5553480614894135
10.0479166632625,0.4100000000000001,32.0,3.4965075614664802
10.227083330287499,0.2900000000000001,9.0,2.302585092994046
10.227083330287499,0.35000000000000003,56.0,4.04305126783455
10.227083330287499,0.4100000000000001,51.0,3.9512437185814275
10.227083330287499,0.47000000000000003,1.0,0.6931471805599453
10.4062499973125,0.2900000000000001,42.0,3.7612001156935624
10.4062499973125,0.35000000000000003,63.0,4.1588830833596715
10.4062499973125,0.4100000000000001,89.0,4.499809670330265
10.4062499973125,0.47000000000000003,6.0,1.9459101490553132
10.5854166643375,0.23,2.0,1.0986122886681096
10.5854166643375,0.2900000000000001,42.0,3.7612001156935624
10.5854166643375,0.35000000000000003,77.0,4.356708826689592
10.5854166643375,0.4100000000000001,132.0,4.890349128221754
10.5854166643375,0.47000000000000003,15.0,2.772588722239781
10.7645833313625,0.23,26.0,3.295836866004329
