beta,expected_information,expected_value,blahut_converged,info_converged,blahut_iterations,info_iterations
0.1,0.7455961201459805,-17.72516536619649,True,True,3078,116
0.10091245531355361,0.7515430026885779,-17.652093750618924,True,True,2388,116
0.10370008030423225,0.7695642681145166,-17.434668617647333,True,True,2296,114
0.10851829422882685,0.8003344535290331,-17.079181731571605,True,True,2109,111
0.1156422068240328,0.8448707694990255,-16.5945141019412,True,True,1855,107
0.1254929502540124,0.9047138814937247,-15.993900300576575,True,True,1563,102
0.13867936178281623,0.9818967368513201,-15.293744412425609,True,True,1244,96
0.15606082038656774,1.0789952379074328,-14.513035944821869,True,True,927,89
0.17884033851119438,1.1992579309601732,-13.673118114644277,True,True,648,82
0.20870200781926151,1.346578099205482,-12.796701518844987,True,True,363,74
0.24801464005755242,1.5256841711658518,-11.906271211192307,True,True,359,66
0.30013562955494616,1.7422428272634687,-11.023407654118772,True,True,303,59
0.3698684925501919,2.0030044294947005,-10.16800725931232,True,True,241,52
0.46415888336127786,2.3159648835859654,-9.356420352398823,True,True,179,45
0.5931650342257919,2.6903832341795164,-8.60235500218701,True,True,135,39
0.771922970243086,3.1362065034432844,-7.91669169657664,True,True,102,33
1.022967727727163,3.6619239770896317,-7.309280371218928,True,True,77,29
1.3805096530284018,4.269229156608282,-6.790324658188923,True,True,61,25
1.8971711373202733,4.942651303935967,-6.371052915914492,True,True,48,22
2.654991385999545,5.635384642863993,-6.061199576146772,True,True,43,20
3.783635313819407,6.2610417708336925,-5.862598684401926,True,True,38,18
5.49091815553642,6.713513443611201,-5.761630515746342,True,True,36,18
8.114657928431608,6.935883218169767,-5.726853629868491,True,True,34,18
12.211949785883824,6.9923858498904705,-5.72046321724178,True,True,29,18
18.714979214677353,6.999324959228393,-5.719668723847705,True,True,28,18
29.206750097601088,7.009438111882307,-5.719008896684188,True,True,28,18
46.41588833612777,7.040758172283168,-5.718032746848318,True,True,26,18
75.11724389376559,7.1173999001507715,-5.7167057203507525,True,True,23,17
123.79473361110372,7.264891323587767,-5.7151854756089815,True,True,22,17
207.75631838579764,7.48600632209718,-5.713802278506728,True,True,22,17
355.05518401634674,7.738732459728766,-5.712855503643768,True,True,21,17
617.9125581573686,7.916018852307601,-5.712460079102456,True,True,21,17
1095.0847517069535,7.9663893927399725,-5.712392771018357,True,True,20,17
1976.3232879260702,7.969952441149076,-5.712390301680569,True,True,18,17
3632.099948109527,7.97154865874463,-5.712390052407133,True,True,17,17
6797.467503450034,7.975718263090484,-5.712389594225865,True,True,17,17
12954.660484906788,7.987191753603189,-5.712388781394532,True,True,17,17
25141.690586599816,8.01495128401636,-5.712387604961515,True,True,17,17
49688.10860412888,8.05346778783603,-5.712386664225676,True,True,17,17
100000.0,8.071587663518711,-5.712386433234265,True,True,17,17
